"Loja","Dia","J","X","PR","Previsao","Lucro_Dia"
"BALTIMORE","Segunda",16,11,11,254,909
"BALTIMORE","Terça",17,9,14,224,861
"BALTIMORE","Quarta",11,10,17,159,720
"BALTIMORE","Quinta",16,10,24,177,800
"BALTIMORE","Sexta",16,11,10,197,909
"BALTIMORE","Sábado",18,8,11,188,552
"BALTIMORE","Domingo",13,13,14,202,572
"LANCASTER","Segunda",15,8,12,389,908
"LANCASTER","Terça",14,13,15,269,1018
"LANCASTER","Quarta",13,13,4,229,1157
"LANCASTER","Quinta",14,12,12,253,1056
"LANCASTER","Sexta",18,14,6,264,1292
"LANCASTER","Sábado",16,11,15,284,680
"LANCASTER","Domingo",15,10,14,351,630
"PHILADELPHIA","Segunda",14,12,16,513,972
"PHILADELPHIA","Terça",16,7,15,400,849
"PHILADELPHIA","Quarta",11,12,14,396,1014
"PHILADELPHIA","Quinta",16,11,12,421,1005
"PHILADELPHIA","Sexta",18,11,13,445,1185
"PHILADELPHIA","Sábado",14,11,15,497,628
"PHILADELPHIA","Domingo",15,8,13,539,672
"RICHMOND","Segunda",13,9,21,153,1023
"RICHMOND","Terça",11,10,10,147,922
"RICHMOND","Quarta",13,10,10,153,1076
"RICHMOND","Quinta",15,7,21,137,967.25
"RICHMOND","Sexta",12,9,8,146,1053
"RICHMOND","Sábado",15,9,15,160,759
"RICHMOND","Domingo",15,11,13,186,898
