"Loja","Dia","J","X","PR","Previsao","Unidades","Lucro_Dia"
"BALTIMORE","Segunda",10,7,16,254,1891,513
"BALTIMORE","Terça",9,7,15,224,1795,543
"BALTIMORE","Quarta",10,7,14,159,1891,573
"BALTIMORE","Quinta",10,8,15,177,2024,612
"BALTIMORE","Sexta",10,8,17,197,2084,612
"BALTIMORE","Sábado",11,7,16,188,1987,322
"BALTIMORE","Domingo",10,7,15,202,1891,308
"LANCASTER","Segunda",9,8,16,389,2038,638
"LANCASTER","Terça",11,7,16,269,2102,652
"LANCASTER","Quarta",9,7,15,229,1898,592
"LANCASTER","Quinta",9,7,16,253,1898,592
"LANCASTER","Sexta",10,8,13,264,2084,728
"LANCASTER","Sábado",10,7,16,284,2000,417
"LANCASTER","Domingo",10,8,17,351,2140,448
"PHILADELPHIA","Segunda",11,8,17,513,2252,708
"PHILADELPHIA","Terça",10,7,14,400,2011,693
"PHILADELPHIA","Quarta",10,8,16,396,2144,672
"PHILADELPHIA","Quinta",10,7,16,421,2011,633
"PHILADELPHIA","Sexta",10,7,17,445,2011,633
"PHILADELPHIA","Sábado",9,8,14,497,2036,480
"PHILADELPHIA","Domingo",10,7,14,539,2011,488
"RICHMOND","Segunda",10,8,15,153,2260,788
"RICHMOND","Terça",10,8,14,147,2260,848
"RICHMOND","Quarta",11,8,12,153,2308,886
"RICHMOND","Quinta",9,8,13,137,2092,802
"RICHMOND","Sexta",11,7,12,146,2168,833
"RICHMOND","Sábado",10,8,16,160,2260,568
"RICHMOND","Domingo",11,8,15,186,2374,600
