"Store","Week_ID","Day","Lag_Used","Forecast"
"baltimore",1,1,21,131
"baltimore",1,2,21,74
"baltimore",1,3,21,87
"baltimore",1,4,21,117
"baltimore",1,5,21,103
"baltimore",1,6,21,90
"baltimore",1,7,21,169
"baltimore",2,1,21,107
"baltimore",2,2,21,87
"baltimore",2,3,21,0
"baltimore",2,4,21,85
"baltimore",2,5,21,98
"baltimore",2,6,21,74
"baltimore",2,7,21,122
"baltimore",3,1,21,105
"baltimore",3,2,21,45
"baltimore",3,3,21,20
"baltimore",3,4,21,53
"baltimore",3,5,21,118
"baltimore",3,6,21,151
"baltimore",3,7,21,165
"baltimore",4,1,21,171
"baltimore",4,2,21,132
"baltimore",4,3,21,133
"baltimore",4,4,21,116
"baltimore",4,5,21,101
"baltimore",4,6,21,107
"baltimore",4,7,21,170
"baltimore",5,1,21,89
"baltimore",5,2,21,102
"baltimore",5,3,21,130
"baltimore",5,4,21,90
"baltimore",5,5,21,88
"baltimore",5,6,21,84
"baltimore",5,7,21,218
"baltimore",6,1,21,68
"baltimore",6,2,21,35
"baltimore",6,3,21,47
"baltimore",6,4,21,55
"baltimore",6,5,21,56
"baltimore",6,6,21,66
"baltimore",6,7,21,133
"baltimore",7,1,21,128
"baltimore",7,2,21,114
"baltimore",7,3,21,62
"baltimore",7,4,21,86
"baltimore",7,5,21,103
"baltimore",7,6,21,167
"baltimore",7,7,21,183
"baltimore",8,1,21,219
"baltimore",8,2,21,178
"baltimore",8,3,21,152
"baltimore",8,4,21,128
"baltimore",8,5,21,113
"baltimore",8,6,21,100
"baltimore",8,7,21,128
"baltimore",9,1,21,168
"baltimore",9,2,21,156
"baltimore",9,3,21,129
"baltimore",9,4,21,114
"baltimore",9,5,21,138
"baltimore",9,6,21,123
"baltimore",9,7,21,153
"baltimore",10,1,21,187
"baltimore",10,2,21,170
"baltimore",10,3,21,153
"baltimore",10,4,21,101
"baltimore",10,5,21,121
"baltimore",10,6,21,142
"baltimore",10,7,21,181
"baltimore",11,1,21,192
"baltimore",11,2,21,161
"baltimore",11,3,21,153
"baltimore",11,4,21,73
"baltimore",11,5,21,93
"baltimore",11,6,21,90
"baltimore",11,7,21,147
"baltimore",12,1,21,179
"baltimore",12,2,21,163
"baltimore",12,3,21,108
"baltimore",12,4,21,90
"baltimore",12,5,21,91
"baltimore",12,6,21,110
"baltimore",12,7,21,146
"baltimore",13,1,21,210
"baltimore",13,2,21,175
"baltimore",13,3,21,135
"baltimore",13,4,21,108
"baltimore",13,5,21,116
"baltimore",13,6,21,153
"baltimore",13,7,21,167
"baltimore",14,1,21,216
"baltimore",14,2,21,156
"baltimore",14,3,21,123
"baltimore",14,4,21,93
"baltimore",14,5,21,70
"baltimore",14,6,21,81
"baltimore",14,7,21,126
"baltimore",15,1,21,133
"baltimore",15,2,21,108
"baltimore",15,3,21,82
"baltimore",15,4,21,94
"baltimore",15,5,21,95
"baltimore",15,6,21,128
"baltimore",15,7,21,183
"baltimore",16,1,21,181
"baltimore",16,2,21,156
"baltimore",16,3,21,128
"baltimore",16,4,21,92
"baltimore",16,5,21,127
"baltimore",16,6,21,133
"baltimore",16,7,21,171
"baltimore",17,1,21,124
"baltimore",17,2,21,75
"baltimore",17,3,21,86
"baltimore",17,4,21,74
"baltimore",17,5,21,85
