"Week_Start","Store","Day","Forecast","Week_ID","Lag_Used"
"2014-01-25","baltimore",1,131,1,21
"2014-01-25","baltimore",2,74,1,21
"2014-01-25","baltimore",3,87,1,21
"2014-01-25","baltimore",4,117,1,21
"2014-01-25","baltimore",5,103,1,21
"2014-01-25","baltimore",6,90,1,21
"2014-01-25","baltimore",7,169,1,21
"2014-02-01","baltimore",1,107,2,21
"2014-02-01","baltimore",2,87,2,21
"2014-02-01","baltimore",3,0,2,21
"2014-02-01","baltimore",4,85,2,21
"2014-02-01","baltimore",5,98,2,21
"2014-02-01","baltimore",6,74,2,21
"2014-02-01","baltimore",7,122,2,21
"2014-02-08","baltimore",1,105,3,21
"2014-02-08","baltimore",2,45,3,21
"2014-02-08","baltimore",3,20,3,21
"2014-02-08","baltimore",4,53,3,21
"2014-02-08","baltimore",5,118,3,21
"2014-02-08","baltimore",6,151,3,21
"2014-02-08","baltimore",7,165,3,21
"2014-02-15","baltimore",1,171,4,21
"2014-02-15","baltimore",2,132,4,21
"2014-02-15","baltimore",3,133,4,21
"2014-02-15","baltimore",4,116,4,21
"2014-02-15","baltimore",5,101,4,21
"2014-02-15","baltimore",6,107,4,21
"2014-02-15","baltimore",7,170,4,21
"2014-02-22","baltimore",1,89,5,21
"2014-02-22","baltimore",2,102,5,21
"2014-02-22","baltimore",3,130,5,21
"2014-02-22","baltimore",4,90,5,21
"2014-02-22","baltimore",5,88,5,21
"2014-02-22","baltimore",6,84,5,21
"2014-02-22","baltimore",7,218,5,21
"2014-03-01","baltimore",1,68,6,21
"2014-03-01","baltimore",2,35,6,21
"2014-03-01","baltimore",3,47,6,21
"2014-03-01","baltimore",4,55,6,21
"2014-03-01","baltimore",5,56,6,21
"2014-03-01","baltimore",6,66,6,21
"2014-03-01","baltimore",7,133,6,21
"2014-03-08","baltimore",1,128,7,21
"2014-03-08","baltimore",2,114,7,21
"2014-03-08","baltimore",3,62,7,21
"2014-03-08","baltimore",4,86,7,21
"2014-03-08","baltimore",5,103,7,21
"2014-03-08","baltimore",6,167,7,21
"2014-03-08","baltimore",7,183,7,21
"2014-03-15","baltimore",1,219,8,21
"2014-03-15","baltimore",2,178,8,21
"2014-03-15","baltimore",3,152,8,21
"2014-03-15","baltimore",4,128,8,21
"2014-03-15","baltimore",5,113,8,21
"2014-03-15","baltimore",6,100,8,21
"2014-03-15","baltimore",7,128,8,21
"2014-03-22","baltimore",1,168,9,21
"2014-03-22","baltimore",2,156,9,21
"2014-03-22","baltimore",3,129,9,21
"2014-03-22","baltimore",4,114,9,21
"2014-03-22","baltimore",5,138,9,21
"2014-03-22","baltimore",6,123,9,21
"2014-03-22","baltimore",7,153,9,21
"2014-03-29","baltimore",1,187,10,21
"2014-03-29","baltimore",2,170,10,21
"2014-03-29","baltimore",3,153,10,21
"2014-03-29","baltimore",4,101,10,21
"2014-03-29","baltimore",5,121,10,21
